Bedding_week,Date,Time,Age_in_months,IdLabel,total_visited_cages
1,2020-08-25,2023-03-15T22:00:00Z,37,10793A,4
1,2020-08-25,2023-03-15T23:00:00Z,12,19231J,197
1,2020-08-25,2023-03-15T23:00:00Z,15,18291F,26
1,2020-08-25,2023-03-15T23:00:00Z,18,16829E,70
1,2020-08-25,2023-03-15T23:00:00Z,20,16509C,115
1,2020-08-25,2023-03-15T23:00:00Z,25,14827B,123
1,2020-08-25,2023-03-15T23:00:00Z,37,10793A,5
1,2020-08-26,2023-03-15T00:00:00Z,12,19231J,200
1,2020-08-26,2023-03-15T00:00:00Z,15,18291F,78
1,2020-08-26,2023-03-15T00:00:00Z,18,16829E,16
1,2020-08-26,2023-03-15T00:00:00Z,20,16509C,83
1,2020-08-26,2023-03-15T00:00:00Z,25,14827B,188
1,2020-08-26,2023-03-15T01:00:00Z,12,19231J,22
1,2020-08-26,2023-03-15T01:00:00Z,15,18291F,229
1,2020-08-26,2023-03-15T01:00:00Z,18,16829E,35
1,2020-08-26,2023-03-15T01:00:00Z,20,16509C,39
1,2020-08-26,2023-03-15T01:00:00Z,25,14827B,106
1,2020-08-26,2023-03-15T01:00:00Z,37,10793A,26
1,2020-08-26,2023-03-15T02:00:00Z,12,19231J,3
1,2020-08-26,2023-03-15T02:00:00Z,15,18291F,58
1,2020-08-26,2023-03-15T02:00:00Z,18,16829E,13
1,2020-08-26,2023-03-15T02:00:00Z,20,16509C,4
1,2020-08-26,2023-03-15T02:00:00Z,37,10793A,13
1,2020-08-26,2023-03-15T03:00:00Z,12,19231J,13
1,2020-08-26,2023-03-15T03:00:00Z,15,18291F,9
1,2020-08-26,2023-03-15T03:00:00Z,18,16829E,9
1,2020-08-26,2023-03-15T03:00:00Z,20,16509C,16
1,2020-08-26,2023-03-15T03:00:00Z,25,14827B,19
1,2020-08-26,2023-03-15T03:00:00Z,37,10793A,17
1,2020-08-26,2023-03-15T04:00:00Z,25,14827B,3
1,2020-08-26,2023-03-15T04:00:00Z,37,10793A,10
1,2020-08-26,2023-03-15T05:00:00Z,12,19231J,61
1,2020-08-26,2023-03-15T05:00:00Z,15,18291F,42
1,2020-08-26,2023-03-15T05:00:00Z,18,16829E,5
1,2020-08-26,2023-03-15T05:00:00Z,25,14827B,20
1,2020-08-26,2023-03-15T06:00:00Z,18,16829E,17
1,2020-08-26,2023-03-15T06:00:00Z,25,14827B,5
1,2020-08-26,2023-03-15T07:00:00Z,15,18291F,13
1,2020-08-26,2023-03-15T07:00:00Z,18,16829E,16
1,2020-08-26,2023-03-15T07:00:00Z,20,16509C,9
1,2020-08-26,2023-03-15T07:00:00Z,25,14827B,6
1,2020-08-26,2023-03-15T08:00:00Z,12,19231J,7
1,2020-08-26,2023-03-15T08:00:00Z,15,18291F,27
1,2020-08-26,2023-03-15T08:00:00Z,18,16829E,3
1,2020-08-26,2023-03-15T08:00:00Z,25,14827B,38
1,2020-08-26,2023-03-15T08:00:00Z,37,10793A,5
1,2020-08-26,2023-03-15T09:00:00Z,12,19231J,32
1,2020-08-26,2023-03-15T09:00:00Z,15,18291F,22
1,2020-08-26,2023-03-15T09:00:00Z,18,16829E,31
1,2020-08-26,2023-03-15T09:00:00Z,20,16509C,1
1,2020-08-26,2023-03-15T09:00:00Z,25,14827B,3
1,2020-08-26,2023-03-15T09:00:00Z,37,10793A,5
1,2020-08-26,2023-03-15T10:00:00Z,12,19231J,33
1,2020-08-26,2023-03-15T10:00:00Z,15,18291F,10
1,2020-08-26,2023-03-15T10:00:00Z,18,16829E,5
1,2020-08-26,2023-03-15T10:00:00Z,20,16509C,38
1,2020-08-26,2023-03-15T10:00:00Z,25,14827B,58
1,2020-08-26,2023-03-15T10:00:00Z,37,10793A,21
1,2020-08-26,2023-03-15T11:00:00Z,12,19231J,23
1,2020-08-26,2023-03-15T11:00:00Z,15,18291F,84
1,2020-08-26,2023-03-15T11:00:00Z,18,16829E,11
1,2020-08-26,2023-03-15T11:00:00Z,25,14827B,51
1,2020-08-26,2023-03-15T11:00:00Z,37,10793A,2
1,2020-08-26,2023-03-15T12:00:00Z,15,18291F,127
1,2020-08-26,2023-03-15T12:00:00Z,18,16829E,18
1,2020-08-26,2023-03-15T12:00:00Z,20,16509C,24
1,2020-08-26,2023-03-15T12:00:00Z,25,14827B,20
1,2020-08-26,2023-03-15T13:00:00Z,12,19231J,60
1,2020-08-26,2023-03-15T13:00:00Z,15,18291F,126
1,2020-08-26,2023-03-15T13:00:00Z,18,16829E,55
1,2020-08-26,2023-03-15T13:00:00Z,20,16509C,120
1,2020-08-26,2023-03-15T13:00:00Z,25,14827B,1
1,2020-08-26,2023-03-15T13:00:00Z,37,10793A,35
1,2020-08-26,2023-03-15T14:00:00Z,12,19231J,201
1,2020-08-26,2023-03-15T14:00:00Z,15,18291F,37
1,2020-08-26,2023-03-15T14:00:00Z,18,16829E,60
1,2020-08-26,2023-03-15T14:00:00Z,20,16509C,29
1,2020-08-26,2023-03-15T14:00:00Z,25,14827B,71
1,2020-08-26,2023-03-15T14:00:00Z,37,10793A,28
1,2020-08-26,2023-03-15T15:00:00Z,12,19231J,2
1,2020-08-26,2023-03-15T15:00:00Z,15,18291F,24
1,2020-08-26,2023-03-15T15:00:00Z,18,16829E,10
1,2020-08-26,2023-03-15T15:00:00Z,20,16509C,12
1,2020-08-26,2023-03-15T15:00:00Z,25,14827B,61
1,2020-08-26,2023-03-15T16:00:00Z,12,19231J,37
1,2020-08-26,2023-03-15T16:00:00Z,15,18291F,160
1,2020-08-26,2023-03-15T16:00:00Z,18,16829E,24
1,2020-08-26,2023-03-15T16:00:00Z,20,16509C,7
1,2020-08-26,2023-03-15T16:00:00Z,25,14827B,53
1,2020-08-26,2023-03-15T16:00:00Z,37,10793A,9
1,2020-08-26,2023-03-15T17:00:00Z,12,19231J,232
1,2020-08-26,2023-03-15T17:00:00Z,15,18291F,71
1,2020-08-26,2023-03-15T17:00:00Z,18,16829E,108
1,2020-08-26,2023-03-15T17:00:00Z,20,16509C,70
1,2020-08-26,2023-03-15T17:00:00Z,25,14827B,266
1,2020-08-26,2023-03-15T17:00:00Z,37,10793A,45
1,2020-08-26,2023-03-15T18:00:00Z,12,19231J,257
1,2020-08-26,2023-03-15T18:00:00Z,15,18291F,55
1,2020-08-26,2023-03-15T18:00:00Z,18,16829E,108
1,2020-08-26,2023-03-15T18:00:00Z,20,16509C,134
1,2020-08-26,2023-03-15T18:00:00Z,25,14827B,267
1,2020-08-26,2023-03-15T18:00:00Z,37,10793A,34
1,2020-08-26,2023-03-15T19:00:00Z,12,19231J,145
1,2020-08-26,2023-03-15T19:00:00Z,15,18291F,293
1,2020-08-26,2023-03-15T19:00:00Z,18,16829E,79
1,2020-08-26,2023-03-15T19:00:00Z,20,16509C,32
1,2020-08-26,2023-03-15T19:00:00Z,25,14827B,162
1,2020-08-26,2023-03-15T19:00:00Z,37,10793A,48
1,2020-08-26,2023-03-15T20:00:00Z,12,19231J,167
1,2020-08-26,2023-03-15T20:00:00Z,15,18291F,184
1,2020-08-26,2023-03-15T20:00:00Z,18,16829E,50
1,2020-08-26,2023-03-15T20:00:00Z,20,16509C,46
1,2020-08-26,2023-03-15T20:00:00Z,25,14827B,95
1,2020-08-26,2023-03-15T20:00:00Z,37,10793A,2
1,2020-08-26,2023-03-15T21:00:00Z,12,19231J,131
1,2020-08-26,2023-03-15T21:00:00Z,15,18291F,329
1,2020-08-26,2023-03-15T21:00:00Z,18,16829E,3
1,2020-08-26,2023-03-15T21:00:00Z,20,16509C,122
1,2020-08-26,2023-03-15T21:00:00Z,37,10793A,38
1,2020-08-26,2023-03-15T22:00:00Z,12,19231J,135
1,2020-08-26,2023-03-15T22:00:00Z,15,18291F,295
1,2020-08-26,2023-03-15T22:00:00Z,18,16829E,49
1,2020-08-26,2023-03-15T22:00:00Z,20,16509C,66
1,2020-08-26,2023-03-15T22:00:00Z,25,14827B,27
1,2020-08-26,2023-03-15T22:00:00Z,37,10793A,22
1,2020-08-26,2023-03-15T23:00:00Z,12,19231J,7
1,2020-08-26,2023-03-15T23:00:00Z,15,18291F,345
1,2020-08-26,2023-03-15T23:00:00Z,18,16829E,75
1,2020-08-26,2023-03-15T23:00:00Z,20,16509C,124
1,2020-08-26,2023-03-15T23:00:00Z,25,14827B,60
1,2020-08-26,2023-03-15T23:00:00Z,37,10793A,10
1,2020-08-27,2023-03-15T00:00:00Z,12,19231J,95
1,2020-08-27,2023-03-15T00:00:00Z,15,18291F,250
1,2020-08-27,2023-03-15T00:00:00Z,18,16829E,138
1,2020-08-27,2023-03-15T00:00:00Z,20,16509C,37
1,2020-08-27,2023-03-15T00:00:00Z,25,14827B,166
1,2020-08-27,2023-03-15T00:00:00Z,37,10793A,23
1,2020-08-27,2023-03-15T01:00:00Z,12,19231J,32
