Week,Day,Phase,Age_in_months,IdLabel,Cage,Height,cage_visits_sum
2,8,light,25,14827B,Tube 2:3,Down,3
2,8,light,25,14827B,Tube 2:3,Up,4
2,8,light,37,10793A,Tube 1:2,Down,2
2,8,light,37,10793A,Tube 1:2,Up,2
2,8,light,37,10793A,Tube 2:3,Down,1
2,8,light,37,10793A,Tube 2:3,Up,1
2,9,dark,12,19231J,Tube 1:2,Down,7
2,9,dark,12,19231J,Tube 1:2,Up,3
2,9,dark,12,19231J,Tube 2:3,Down,15
2,9,dark,12,19231J,Tube 2:3,Up,15
2,9,dark,15,18291F,Tube 1:2,Down,4
2,9,dark,15,18291F,Tube 1:2,Up,5
2,9,dark,15,18291F,Tube 2:3,Down,10
2,9,dark,15,18291F,Tube 2:3,Up,11
2,9,dark,18,16829E,Tube 1:2,Down,4
2,9,dark,18,16829E,Tube 1:2,Up,4
2,9,dark,18,16829E,Tube 2:3,Down,10
2,9,dark,18,16829E,Tube 2:3,Up,9
2,9,dark,25,14827B,Tube 1:2,Down,19
2,9,dark,25,14827B,Tube 1:2,Up,18
2,9,dark,25,14827B,Tube 2:3,Down,27
2,9,dark,25,14827B,Tube 2:3,Up,26
2,9,dark,37,10793A,Tube 1:2,Down,2
2,9,dark,37,10793A,Tube 1:2,Up,2
2,9,dark,37,10793A,Tube 2:3,Down,2
2,9,dark,37,10793A,Tube 2:3,Up,2
2,9,light,12,19231J,Tube 1:2,Down,3
2,9,light,12,19231J,Tube 1:2,Up,2
2,9,light,12,19231J,Tube 2:3,Down,1
2,9,light,15,18291F,Tube 1:2,Down,5
2,9,light,15,18291F,Tube 1:2,Up,5
2,9,light,15,18291F,Tube 2:3,Down,2
2,9,light,15,18291F,Tube 2:3,Up,2
2,9,light,18,16829E,Tube 1:2,Down,1
2,9,light,18,16829E,Tube 1:2,Up,1
2,9,light,25,14827B,Tube 1:2,Down,2
2,9,light,25,14827B,Tube 1:2,Up,2
2,9,light,25,14827B,Tube 2:3,Down,3
2,9,light,25,14827B,Tube 2:3,Up,3
2,9,light,37,10793A,Tube 1:2,Down,1
2,9,light,37,10793A,Tube 1:2,Up,1
2,9,light,37,10793A,Tube 2:3,Down,1
2,9,light,37,10793A,Tube 2:3,Up,1
2,10,dark,12,19231J,Tube 1:2,Down,9
2,10,dark,12,19231J,Tube 1:2,Up,6
2,10,dark,12,19231J,Tube 2:3,Down,6
2,10,dark,12,19231J,Tube 2:3,Up,6
2,10,dark,15,18291F,Tube 1:2,Down,11
2,10,dark,15,18291F,Tube 1:2,Up,11
2,10,dark,15,18291F,Tube 2:3,Down,29
2,10,dark,15,18291F,Tube 2:3,Up,28
2,10,dark,18,16829E,Tube 1:2,Down,7
2,10,dark,18,16829E,Tube 1:2,Up,7
2,10,dark,18,16829E,Tube 2:3,Down,7
2,10,dark,18,16829E,Tube 2:3,Up,7
2,10,dark,25,14827B,Tube 1:2,Down,16
2,10,dark,25,14827B,Tube 1:2,Up,16
2,10,dark,25,14827B,Tube 2:3,Down,28
2,10,dark,25,14827B,Tube 2:3,Up,28
2,10,dark,37,10793A,Tube 1:2,Down,2
2,10,dark,37,10793A,Tube 1:2,Up,2
2,10,dark,37,10793A,Tube 2:3,Down,1
2,10,dark,37,10793A,Tube 2:3,Up,1
2,10,light,12,19231J,Tube 1:2,Down,1
2,10,light,12,19231J,Tube 1:2,Up,2
2,10,light,12,19231J,Tube 2:3,Up,1
2,10,light,15,18291F,Tube 1:2,Down,2
2,10,light,15,18291F,Tube 1:2,Up,1
2,10,light,25,14827B,Tube 1:2,Down,5
2,10,light,25,14827B,Tube 1:2,Up,4
2,10,light,25,14827B,Tube 2:3,Down,2
2,10,light,25,14827B,Tube 2:3,Up,2
2,10,light,37,10793A,Tube 1:2,Up,1
2,10,light,37,10793A,Tube 2:3,Down,1
2,10,light,37,10793A,Tube 2:3,Up,2
