Group,IdLabel,Day,Cage,Duration_sum,Duration_light,Duration_dark
All,14827B,2,Cage 3-2,5602.263,3164.828,2437.435
All,14827B,2,Cage 3-3,2428.502,877.595,1550.907
All,14827B,2,Cage 3-4,5295.302,4421.862,873.44
All,14827B,2,Cage 3-5,1216.849,407.526,809.323
All,14827B,2,Cage 3-6,7075.202,1386.233,5688.969
All,14827B,2,Tube 1:2,490.572,0,490.572
All,14827B,2,Tube 2:3,1198.604,307.657,890.947
All,14827B,3,Cage 1-1,2074.853,426.035,1648.818
All,14827B,3,Cage 1-2,2080.143,1302.85,777.293
All,14827B,3,Cage 1-3,1786.413,961.449,824.964
All,14827B,3,Cage 1-4,2190.684,1651.939,538.745
All,14827B,3,Cage 1-5,639.888,340.555,299.333
All,14827B,3,Cage 1-6,2858.026,1885.488,972.538
All,14827B,3,Cage 2-1,6471.94,4440.498,2031.442
All,14827B,3,Cage 2-2,4151.994,2078.318,2073.676
All,14827B,3,Cage 2-3,3279.037,1861.9,1417.137
All,14827B,3,Cage 2-4,893.46,238.606,654.854
All,14827B,3,Cage 2-5,761.987000000001,266.034,495.953
All,14827B,3,Cage 2-6,844.552,369.26,475.292
All,14827B,3,Cage 3-1,1115.349,66.775,1048.574
All,14827B,3,Cage 3-2,1268.123,0,1268.123
All,14827B,3,Cage 3-3,2344.812,10.53,2334.282
All,14827B,3,Cage 3-4,411.933,0,411.933
All,14827B,3,Cage 3-5,568.635,0,568.635
All,14827B,3,Cage 3-6,2737.217,0,2737.217
All,14827B,3,Tube 1:2,886.489000000001,314.947,571.542
All,14827B,3,Tube 2:3,566.87,59.077,507.793
All,14827B,4,Cage 1-1,1469.788,332.924,1136.864
All,14827B,4,Cage 1-2,1563.992,1084.591,479.401
All,14827B,4,Cage 1-3,2264.147,1222.421,1041.726
All,14827B,4,Cage 1-4,5638.426,5361.65,276.776
All,14827B,4,Cage 1-5,557.553,348.193,209.36
All,14827B,4,Cage 1-6,697.554,116.102,581.452
All,14827B,4,Cage 2-1,924.619,425.98,498.639
All,14827B,4,Cage 2-2,2006.537,388.354,1618.183
All,14827B,4,Cage 2-3,2647.346,2040.773,606.573
All,14827B,4,Cage 2-4,491.948,209.863,282.085
All,14827B,4,Cage 2-5,426.707,151.802,274.905
All,14827B,4,Cage 2-6,5505.302,4204.336,1300.966
All,14827B,4,Cage 3-1,5617.761,68.543,5549.218
All,14827B,4,Cage 3-2,2549.975,553.178,1996.797
All,14827B,4,Cage 3-3,1281.084,423.78,857.304
All,14827B,4,Cage 3-4,5415.824,146.791,5269.033
All,14827B,4,Cage 3-5,373.546,95.098,278.448
All,14827B,4,Cage 3-6,3013.844,101.816,2912.028
All,14827B,4,Tube 1:2,456.61,205.171,251.439
All,14827B,4,Tube 2:3,391.789,95.443,296.346
All,14827B,5,Cage 1-1,655.278,91.899,563.379
All,14827B,5,Cage 1-2,2452.737,1297.317,1155.42
All,14827B,5,Cage 1-3,7370.68000000001,1586.311,5784.369
All,14827B,5,Cage 1-4,15553.277,9040.793,6512.484
All,14827B,5,Cage 1-5,556.462,217.836,338.626
All,14827B,5,Cage 1-6,517.558,57.008,460.55
All,14827B,5,Cage 2-1,711.516,124.996,586.52
All,14827B,5,Cage 2-2,4786.525,321.866,4464.659
All,14827B,5,Cage 2-3,9935.715,8703.959,1231.756
All,14827B,5,Cage 2-4,890.821,104.156,786.665
All,14827B,5,Cage 2-5,596.412,245.131,351.281
All,14827B,5,Cage 2-6,587.698,295.198,292.5
All,14827B,5,Cage 3-1,733.224,372.881,360.343
All,14827B,5,Cage 3-2,2310.023,1557.327,752.696
All,14827B,5,Cage 3-3,1255.674,635.917,619.757
All,14827B,5,Cage 3-4,431.686,237.59,194.096
All,14827B,5,Cage 3-5,498.467,273.792,224.675
All,14827B,5,Cage 3-6,640.666,493.76,146.906
All,14827B,5,Tube 1:2,533.753,147.371,386.382
All,14827B,5,Tube 2:3,339.228,206.506,132.722
All,14827B,6,Cage 1-1,837.254,647.287,189.967
All,14827B,6,Cage 1-2,1090.399,606.177,484.222
All,14827B,6,Cage 1-3,6548.029,6008.783,539.246
All,14827B,6,Cage 1-4,6670.953,6032.139,638.814
All,14827B,6,Cage 1-5,235.831,68.74,167.091
All,14827B,6,Cage 1-6,512.56,288.972,223.588
All,14827B,6,Cage 2-1,886.772,95.91,790.862
All,14827B,6,Cage 2-2,2204.513,793.828,1410.685
All,14827B,6,Cage 2-3,9026.569,2424.202,6602.367
All,14827B,6,Cage 2-4,3348.893,769.526,2579.367
All,14827B,6,Cage 2-5,485.927,42.481,443.446
All,14827B,6,Cage 2-6,413.465,14.954,398.511
All,14827B,6,Cage 3-1,981.032,19.822,961.21
All,14827B,6,Cage 3-2,2046.761,211.226,1835.535
All,14827B,6,Cage 3-3,2254.619,76.591,2178.028
All,14827B,6,Cage 3-4,888.334,179.655,708.679
All,14827B,6,Cage 3-5,554.075,87.376,466.699
All,14827B,6,Cage 3-6,742.218,97.421,644.797
All,14827B,6,Tube 1:2,378.48,100.177,278.303
All,14827B,6,Tube 2:3,392.371,33.764,358.607
All,14827B,7,Cage 1-1,554.993,9.749,545.244
All,14827B,7,Cage 1-2,1626.025,48.467,1577.558
All,14827B,7,Cage 1-3,9068.961,5463.565,3605.396
All,14827B,7,Cage 1-4,6375.715,91.436,6284.279
All,14827B,7,Cage 1-5,475.395,16.89,458.505
All,14827B,7,Cage 1-6,356.18,75.009,281.171
All,14827B,7,Cage 2-1,745.198,135.471,609.727
All,14827B,7,Cage 2-2,2209.169,628.136,1581.033
All,14827B,7,Cage 2-3,15365.788,14224.118,1141.67
All,14827B,7,Cage 2-4,3901.889,2470.743,1431.146
All,14827B,7,Cage 2-5,835.79,330.241,505.549
All,14827B,7,Cage 2-6,323.541,82.542,240.999
All,14827B,7,Cage 3-1,784.813,17.769,767.044
All,14827B,7,Cage 3-2,2348.16,537.147,1811.013
All,14827B,7,Cage 3-3,727.016,102.17,624.846
All,14827B,7,Cage 3-4,822.611,187.821,634.79
All,14827B,7,Cage 3-5,359.967,124.753,235.214
All,14827B,7,Cage 3-6,284.665,36.211,248.454
All,14827B,7,Tube 1:2,658.706,79.236,579.47
All,14827B,7,Tube 2:3,489.839,99.231,390.608
All,14827B,8,Cage 1-1,808.542,188.323,620.219
All,14827B,8,Cage 1-2,1557.227,296.524,1260.703
All,14827B,8,Cage 1-3,1228.774,335.599,893.175
All,14827B,8,Cage 1-4,748.213,262.94,485.273
All,14827B,8,Cage 1-5,420.171,114.223,305.948
All,14827B,8,Cage 1-6,356.008,109.073,246.935
All,14827B,8,Cage 2-1,940.249,481.819,458.43
All,14827B,8,Cage 2-2,2037.212,811.559,1225.653
All,14827B,8,Cage 2-3,28577.973,18526.124,10051.849
All,14827B,8,Cage 2-4,1371.386,444.05,927.336
All,14827B,8,Cage 2-5,738.569,245.213,493.356
All,14827B,8,Cage 2-6,404.733,199.889,204.844
All,14827B,8,Cage 3-1,912.216,168.479,743.737
All,14827B,8,Cage 3-2,1914.023,386.077,1527.946
All,14827B,8,Cage 3-3,2947.511,1857.849,1089.662
All,14827B,8,Cage 3-4,685.397,110.841,574.556
All,14827B,8,Cage 3-5,755.723,132.393,623.33
All,14827B,8,Cage 3-6,492.057,91.188,400.869
All,14827B,8,Tube 1:2,591.384,151.805,439.579
All,14827B,8,Tube 2:3,550.895000000001,123.272,427.623
All,14827B,9,Cage 1-1,443.815,62.07,381.745
All,14827B,9,Cage 1-2,765.901,519.324,246.577
All,14827B,9,Cage 1-3,7324.088,6112.075,1212.013
All,14827B,9,Cage 1-4,474.525,57.241,417.284
All,14827B,9,Cage 1-5,304.56,116.283,188.277
All,14827B,9,Cage 1-6,296.761,74.524,222.237
All,14827B,9,Cage 2-1,2534.073,136.667,2397.406
All,14827B,9,Cage 2-2,2663.551,963.329,1700.222
All,14827B,9,Cage 2-3,24388.338,15822.759,8565.579
All,14827B,9,Cage 2-4,3352.213,2900.976,451.237
All,14827B,9,Cage 2-5,732.507,122.078,610.429
All,14827B,9,Cage 2-6,693.739,122.332,571.407
All,14827B,9,Cage 3-1,1925.539,79.602,1845.937
