Group,IdLabel,Day,Cage,Duration_entropy,Duration_entropy_light,Duration_entropy_dark
All,14827B,6,Cage 2-5,0.84,0,0
All,14827B,6,Cage 2-6,0.825,0,0
All,14827B,6,Cage 3-1,0.828,0,0
All,14827B,6,Cage 3-2,0.685,0,0
All,14827B,6,Cage 3-3,0.574,0,0
All,14827B,6,Cage 3-4,0.822,0,0
All,14827B,6,Cage 3-5,0.845,0,0
All,14827B,6,Cage 3-6,0.84,0,0
All,14827B,6,Tube 1:2,0.915,0,0
All,14827B,6,Tube 2:3,0.913,0,0
All,14827B,7,Cage 1-1,0.809,0,0
All,14827B,7,Cage 1-2,0.636,0,0
All,14827B,7,Cage 1-3,0.446,0,0
All,14827B,7,Cage 1-4,0.512,0,0
All,14827B,7,Cage 1-5,0.852,0,0
All,14827B,7,Cage 1-6,0.869,0,0
All,14827B,7,Cage 2-1,0.828,0,0
All,14827B,7,Cage 2-2,0.755,0,0
All,14827B,7,Cage 2-3,0.452,0,0
All,14827B,7,Cage 2-4,0.401,0,0
All,14827B,7,Cage 2-5,0.869,0,0
All,14827B,7,Cage 2-6,0.904,0,0
All,14827B,7,Cage 3-1,0.84,0,0
All,14827B,7,Cage 3-2,0.755,0,0
All,14827B,7,Cage 3-3,0.915,0,0
All,14827B,7,Cage 3-4,0.828,0,0
All,14827B,7,Cage 3-5,0.86,0,0
All,14827B,7,Cage 3-6,0.919,0,0
All,14827B,7,Tube 1:2,0.858,0,0
All,14827B,7,Tube 2:3,0.928,0,0
All,14827B,8,Cage 1-1,0.777,0,0
All,14827B,8,Cage 1-2,0.702,0,0
All,14827B,8,Cage 1-3,0.774,0,0
All,14827B,8,Cage 1-4,0.869,0,0
All,14827B,8,Cage 1-5,0.923,0,0
All,14827B,8,Cage 1-6,0.903,0,0
All,14827B,8,Cage 2-1,0.879,0,0
All,14827B,8,Cage 2-2,0.696,0,0
All,14827B,8,Cage 2-3,0.537,0,0
All,14827B,8,Cage 2-4,0.737,0,0
All,14827B,8,Cage 2-5,0.846,0,0
All,14827B,8,Cage 2-6,0.896,0,0
All,14827B,8,Cage 3-1,0.883,0,0
All,14827B,8,Cage 3-2,0.73,0,0
All,14827B,8,Cage 3-3,0.586,0,0
All,14827B,8,Cage 3-4,0.874,0,0
All,14827B,8,Cage 3-5,0.815,0,0
All,14827B,8,Cage 3-6,0.866,0,0
All,14827B,8,Tube 1:2,0.895,0,0
All,14827B,8,Tube 2:3,0.925,0,0
All,14827B,9,Cage 1-1,0.907,0,0
All,14827B,9,Cage 1-2,0.586,0,0
All,14827B,9,Cage 1-3,0.356,0,0
All,14827B,9,Cage 1-4,0.803,0,0
All,14827B,9,Cage 1-5,0.86,0,0
All,14827B,9,Cage 1-6,0.815,0,0
All,14827B,9,Cage 2-1,0.607,0,0
All,14827B,9,Cage 2-2,0.774,0,0
All,14827B,9,Cage 2-3,0.567,0,0
All,14827B,9,Cage 2-4,0.476,0,0
All,14827B,9,Cage 2-5,0.849,0,0
All,14827B,9,Cage 2-6,0.827,0,0
All,14827B,9,Cage 3-1,0.731,0,0
All,14827B,9,Cage 3-2,0.735,0,0
All,14827B,9,Cage 3-3,0.622,0,0
All,14827B,9,Cage 3-4,0.857,0,0
All,14827B,9,Cage 3-5,0.847,0,0
All,14827B,9,Cage 3-6,0.89,0,0
All,14827B,9,Tube 1:2,0.911,0,0
All,14827B,9,Tube 2:3,0.912,0,0
All,14827B,10,Cage 1-1,0.883,0,0
All,14827B,10,Cage 1-2,0.685,0,0
All,14827B,10,Cage 1-3,0.504,0,0
All,14827B,10,Cage 1-4,0.467,0,0
All,14827B,10,Cage 1-5,0.781,0,0
All,14827B,10,Cage 1-6,0.926,0,0
All,14827B,10,Cage 2-1,0.874,0,0
All,14827B,10,Cage 2-2,0.689,0,0
All,14827B,10,Cage 2-3,0.382,0,0
All,14827B,10,Cage 2-4,0.878,0,0
All,14827B,10,Cage 2-5,0.853,0,0
All,14827B,10,Cage 2-6,0.889,0,0
All,14827B,10,Cage 3-1,0.898,0,0
All,14827B,10,Cage 3-2,0.677,0,0
All,14827B,10,Cage 3-3,0.631,0,0
All,14827B,10,Cage 3-4,0.71,0,0
All,14827B,10,Cage 3-5,0.725,0,0
All,14827B,10,Cage 3-6,0.942,0,0
All,14827B,10,Tube 1:2,0.924,0,0
All,14827B,10,Tube 2:3,0.912,0,0
All,16509C,1,Cage 2-1,0.901,0.901,0
All,16509C,1,Cage 2-2,0.845,0.845,0
All,16509C,1,Cage 2-3,0.925,0.925,0
All,16509C,1,Cage 2-4,0.867,0.867,0
All,16509C,1,Cage 2-5,0.915,0.915,0
All,16509C,1,Cage 2-6,0.868,0.868,0
All,16509C,1,Tube 1:2,0.963,0.963,0
All,16509C,1,Tube 2:3,0.895,0.895,0
All,16509C,2,Cage 2-1,0.902,0,0.902
All,16509C,2,Cage 2-2,0.611,0,0.611
All,16509C,2,Cage 2-3,0.839,0,0.839
All,16509C,2,Cage 2-4,0.831,0,0.831
All,16509C,2,Cage 2-5,0.843,0,0.843
All,16509C,2,Cage 2-6,0.566,0,0.566
All,16509C,2,Cage 3-1,0.445,0,0
All,16509C,2,Cage 3-2,0.697,0,0
All,16509C,2,Cage 3-3,0.72,0,0
All,16509C,2,Cage 3-4,0.688,0,0
All,16509C,2,Cage 3-5,0.909,0,0
All,16509C,2,Cage 3-6,0.385,0,0
All,16509C,2,Tube 1:2,0.946,0,0.946
All,16509C,2,Tube 2:3,0.948,0,0
All,16509C,3,Cage 3-1,0.406,0,0
All,16509C,3,Cage 3-2,0.653,0,0
All,16509C,3,Cage 3-3,0.807,0,0
All,16509C,3,Cage 3-4,0.564,0,0
All,16509C,3,Cage 3-5,0.828,0,0
All,16509C,3,Cage 3-6,0.662,0,0
All,16509C,3,Tube 2:3,0.959,0,0
All,16509C,4,Cage 3-1,0.463,0,0
All,16509C,4,Cage 3-2,0.674,0,0
All,16509C,4,Cage 3-3,0.417,0,0
All,16509C,4,Cage 3-4,0.346,0,0
All,16509C,4,Cage 3-5,0.873,0,0
All,16509C,4,Cage 3-6,0.484,0,0
All,16509C,4,Tube 2:3,0.92,0,0
All,16509C,5,Cage 3-1,0.878,0,0
All,16509C,5,Cage 3-2,0.654,0,0
All,16509C,5,Cage 3-3,0.325,0,0
All,16509C,5,Cage 3-4,0.475,0,0
All,16509C,5,Cage 3-5,0.845,0,0
All,16509C,5,Cage 3-6,0.794,0,0
All,16509C,5,Tube 2:3,0.91,0,0
All,16509C,6,Cage 3-1,0.685,0,0
All,16509C,6,Cage 3-2,0.63,0,0
All,16509C,6,Cage 3-3,0.471,0,0
All,16509C,6,Cage 3-4,0.525,0,0
All,16509C,6,Cage 3-5,0.852,0,0
All,16509C,6,Cage 3-6,0.765,0,0
All,16509C,6,Tube 2:3,0.908,0,0
All,16509C,7,Cage 3-1,0.736,0,0
All,16509C,7,Cage 3-2,0.646,0,0
All,16509C,7,Cage 3-3,0.323,0,0
All,16509C,7,Cage 3-4,0.478,0,0
All,16509C,7,Cage 3-5,0.836,0,0
All,16509C,7,Cage 3-6,0.8,0,0
All,16509C,7,Tube 2:3,0.918,0,0
All,16509C,8,Cage 3-1,0.771,0,0
All,16509C,8,Cage 3-2,0.688,0,0
All,16509C,8,Cage 3-3,0.448,0,0
All,16509C,8,Cage 3-4,0.583,0,0
All,16509C,8,Cage 3-5,0.856,0,0
All,16509C,8,Cage 3-6,0.799,0,0
All,16509C,8,Tube 2:3,0.912,0,0
All,16509C,9,Cage 3-1,0.826,0,0
All,16509C,9,Cage 3-2,0.62,0,0
All,16509C,9,Cage 3-3,0.502,0,0
All,16509C,9,Cage 3-4,0.517,0,0
All,16509C,9,Cage 3-5,0.883,0,0
All,16509C,9,Cage 3-6,0.811,0,0
All,16509C,9,Tube 2:3,0.931,0,0
All,16509C,10,Cage 3-1,0.811,0,0
All,16509C,10,Cage 3-2,0.646,0,0
All,16509C,10,Cage 3-3,0.445,0,0
All,16509C,10,Cage 3-4,0.315,0,0
All,16509C,10,Cage 3-5,0.841,0,0
All,16509C,10,Cage 3-6,0.893,0,0
All,16509C,10,Tube 2:3,0.926,0,0
All,16829E,1,Cage 2-1,0.834,0.834,0
All,16829E,1,Cage 2-3,0.899,0.899,0
All,16829E,1,Cage 2-4,0.909,0.909,0
All,16829E,1,Cage 2-5,0.91,0.91,0
All,16829E,1,Cage 2-6,0.865,0.865,0
All,16829E,1,Tube 2:3,0.987,0.987,0
All,16829E,2,Cage 2-1,0.548,0,0
All,16829E,2,Cage 2-2,0.838,0,0
All,16829E,2,Cage 2-3,0.57,0,0
All,16829E,2,Cage 2-4,0.876,0,0
All,16829E,2,Cage 2-5,0.925,0,0
All,16829E,2,Cage 2-6,0.578,0,0
All,16829E,2,Tube 1:2,0.996,0.996,0
All,16829E,2,Tube 2:3,0.956,0,0
All,16829E,3,Cage 2-1,0.556,0,0
All,16829E,3,Cage 2-2,0.783,0,0
All,16829E,3,Cage 2-3,0.839,0,0
All,16829E,3,Cage 2-4,0.804,0,0
All,16829E,3,Cage 2-5,0.89,0,0
All,16829E,3,Cage 2-6,0.52,0,0
All,16829E,3,Tube 1:2,0.98,0,0
All,16829E,3,Tube 2:3,0.966,0,0
All,16829E,4,Cage 2-1,0.602,0,0
All,16829E,4,Cage 2-2,0.729,0,0
All,16829E,4,Cage 2-3,0.582,0,0
All,16829E,4,Cage 2-4,0.416,0,0
All,16829E,4,Cage 2-5,0.888,0,0
All,16829E,4,Cage 2-6,0.56,0,0
All,16829E,4,Tube 1:2,0.975,0,0
All,16829E,4,Tube 2:3,0.96,0,0
All,16829E,5,Cage 2-1,0.805,0,0
All,16829E,5,Cage 2-2,0.808,0,0
All,16829E,5,Cage 2-3,0.516,0,0
All,16829E,5,Cage 2-4,0.421,0,0
All,16829E,5,Cage 2-5,0.851,0,0
All,16829E,5,Cage 2-6,0.809,0,0
All,16829E,5,Tube 1:2,0.948,0,0
All,16829E,5,Tube 2:3,0.951,0,0
All,16829E,6,Cage 2-1,0.789,0,0
All,16829E,6,Cage 2-2,0.8,0,0
All,16829E,6,Cage 2-3,0.584,0,0
All,16829E,6,Cage 2-4,0.447,0,0
All,16829E,6,Cage 2-5,0.786,0,0
All,16829E,6,Cage 2-6,0.817,0,0
