Week,Time,Day,Age_in_months,IdLabel,sum_distance_hourly
1,2020-08-25T20:00:00Z,3,25,14827B,43358.7024647395
1,2020-08-25T21:00:00Z,3,25,14827B,57542.8203597262
1,2020-08-25T22:00:00Z,3,25,14827B,43820.1598289097
1,2020-08-25T23:00:00Z,3,25,14827B,25999.3298483362
1,2020-08-26T00:00:00Z,3,25,14827B,40570.4084485942
1,2020-08-26T01:00:00Z,3,25,14827B,21989.1096962033
1,2020-08-26T02:00:00Z,3,25,14827B,0
1,2020-08-26T03:00:00Z,3,25,14827B,3810.3442301286
1,2020-08-26T04:00:00Z,3,25,14827B,487.195720694944
1,2020-08-26T05:00:00Z,3,25,14827B,4013.55641604592
1,2020-08-26T06:00:00Z,3,25,14827B,1238.78067367441
1,2020-08-26T07:00:00Z,3,25,14827B,974.391441389888
1,2020-08-26T08:00:00Z,3,25,14827B,7599.71137916358
1,2020-08-26T09:00:00Z,3,25,14827B,598.189267010941
1,2020-08-26T10:00:00Z,3,25,14827B,11383.751591458
1,2020-08-26T11:00:00Z,3,25,14827B,10300.6139440695
1,2020-08-25T12:00:00Z,3,37,10793A,4763.72921783448
1,2020-08-25T13:00:00Z,3,37,10793A,1725.97639436935
1,2020-08-25T15:00:00Z,3,37,10793A,1924.58070840083
1,2020-08-25T16:00:00Z,3,37,10793A,4075.55285819155
1,2020-08-25T17:00:00Z,3,37,10793A,2390.76997541177
1,2020-08-25T18:00:00Z,3,37,10793A,12761.551720585
1,2020-08-25T19:00:00Z,3,37,10793A,15517.5746766826
1,2020-08-25T20:00:00Z,3,37,10793A,16886.032794636
1,2020-08-25T21:00:00Z,3,37,10793A,10982.6376441008
1,2020-08-25T22:00:00Z,3,37,10793A,664.793581042416
1,2020-08-25T23:00:00Z,3,37,10793A,953.384987705885
1,2020-08-26T01:00:00Z,3,37,10793A,5454.45181820239
1,2020-08-26T02:00:00Z,3,37,10793A,2885.09043612715
1,2020-08-26T03:00:00Z,3,37,10793A,3359.22879258107
1,2020-08-26T04:00:00Z,3,37,10793A,2299.42875785465
1,2020-08-26T08:00:00Z,3,37,10793A,1017.78712735841
1,2020-08-26T09:00:00Z,3,37,10793A,1331.96348700135
1,2020-08-26T10:00:00Z,3,37,10793A,4225.21809431843
1,2020-08-26T11:00:00Z,3,37,10793A,309.597860347472
1,2020-08-26T12:00:00Z,4,12,19231J,0
1,2020-08-26T13:00:00Z,4,12,19231J,15301.3779147814
1,2020-08-26T14:00:00Z,4,12,19231J,48307.7526604038
1,2020-08-26T15:00:00Z,4,12,19231J,530.591406663469
1,2020-08-26T16:00:00Z,4,12,19231J,8701.06478517371
1,2020-08-26T17:00:00Z,4,12,19231J,57223.6311081542
1,2020-08-26T18:00:00Z,4,12,19231J,60884.907093208
1,2020-08-26T19:00:00Z,4,12,19231J,33746.3407909958
1,2020-08-26T20:00:00Z,4,12,19231J,40141.7782455666
1,2020-08-26T21:00:00Z,4,12,19231J,33002.2141282661
1,2020-08-26T22:00:00Z,4,12,19231J,33228.2222415345
1,2020-08-26T23:00:00Z,4,12,19231J,1437.38498770588
1,2020-08-27T00:00:00Z,4,12,19231J,25098.2047444274
1,2020-08-27T01:00:00Z,4,12,19231J,7811.97266815671
1,2020-08-27T03:00:00Z,4,12,19231J,1614.98284805336
1,2020-08-27T04:00:00Z,4,12,19231J,12920.2580307482
1,2020-08-27T05:00:00Z,4,12,19231J,0
1,2020-08-27T06:00:00Z,4,12,19231J,907.787127358413
1,2020-08-27T07:00:00Z,4,12,19231J,1725.97639436935
1,2020-08-27T08:00:00Z,4,12,19231J,0
1,2020-08-27T10:00:00Z,4,12,19231J,13895.4329802623
1,2020-08-26T12:00:00Z,4,15,18291F,26380.415308478
1,2020-08-26T13:00:00Z,4,15,18291F,26238.3600490922
1,2020-08-26T14:00:00Z,4,15,18291F,7186.55940627619
1,2020-08-26T15:00:00Z,4,15,18291F,4988.26255119145
1,2020-08-26T16:00:00Z,4,15,18291F,33473.8820198034
1,2020-08-26T17:00:00Z,4,15,18291F,15419.3768734737
1,2020-08-26T18:00:00Z,4,15,18291F,11070.6326904567
1,2020-08-26T19:00:00Z,4,15,18291F,62074.7009831432
1,2020-08-26T20:00:00Z,4,15,18291F,37610.5267596301
1,2020-08-26T21:00:00Z,4,15,18291F,68933.576426569
1,2020-08-26T22:00:00Z,4,15,18291F,61687.2112856656
1,2020-08-26T23:00:00Z,4,15,18291F,72941.886330463
1,2020-08-27T00:00:00Z,4,15,18291F,52571.9049568341
1,2020-08-27T01:00:00Z,4,15,18291F,19243.7720141593
1,2020-08-27T02:00:00Z,4,15,18291F,18863.9848868009
1,2020-08-27T03:00:00Z,4,15,18291F,12803.2706811896
1,2020-08-27T04:00:00Z,4,15,18291F,7176.88842553078
1,2020-08-27T05:00:00Z,4,15,18291F,15335.9267190937
1,2020-08-27T06:00:00Z,4,15,18291F,177.597860347472
1,2020-08-27T08:00:00Z,4,15,18291F,1416.37853402188
1,2020-08-27T09:00:00Z,4,15,18291F,2177.89471543221
1,2020-08-27T10:00:00Z,4,15,18291F,15028.5667328082
1,2020-08-27T11:00:00Z,4,15,18291F,532.793581042416
1,2020-08-26T12:00:00Z,4,18,16829E,3254.16787048566
1,2020-08-26T13:00:00Z,4,18,16829E,10778.477796721
1,2020-08-26T14:00:00Z,4,18,16829E,12597.0326903858
1,2020-08-26T15:00:00Z,4,18,16829E,2145.57425471683
1,2020-08-26T16:00:00Z,4,18,16829E,5130.3442301286
1,2020-08-26T17:00:00Z,4,18,16829E,22183.7705710096
1,2020-08-26T18:00:00Z,4,18,16829E,23548.3339538317
1,2020-08-26T19:00:00Z,4,18,16829E,15109.0478068592
1,2020-08-26T20:00:00Z,4,18,16829E,9909.29277428867
1,2020-08-26T21:00:00Z,4,18,16829E,708.189267010941
1,2020-08-26T22:00:00Z,4,18,16829E,9455.28207602603
1,2020-08-26T23:00:00Z,4,18,16829E,14665.2477721327
1,2020-08-27T00:00:00Z,4,18,16829E,26898.2568568879
1,2020-08-27T01:00:00Z,4,18,16829E,4115.75282346513
1,2020-08-27T02:00:00Z,4,18,16829E,0
1,2020-08-27T03:00:00Z,4,18,16829E,0
1,2020-08-27T04:00:00Z,4,18,16829E,2430.58070840083
1,2020-08-27T06:00:00Z,4,18,16829E,971.195720694944
1,2020-08-27T07:00:00Z,4,18,16829E,5841.72921783448
1,2020-08-27T08:00:00Z,4,18,16829E,177.597860347472
1,2020-08-27T09:00:00Z,4,18,16829E,4338.55931187555
1,2020-08-27T10:00:00Z,4,18,16829E,7873.71851957184
1,2020-08-27T11:00:00Z,4,18,16829E,2276.58070840083
1,2020-08-26T12:00:00Z,4,20,16509C,4799.3506838126
1,2020-08-26T13:00:00Z,4,20,16509C,24913.637426383
1,2020-08-26T14:00:00Z,4,20,16509C,6351.31417081395
1,2020-08-26T15:00:00Z,4,20,16509C,2234.1785687483
1,2020-08-26T16:00:00Z,4,20,16509C,1483.97639436935
1,2020-08-26T17:00:00Z,4,20,16509C,14523.6004914186
1,2020-08-26T18:00:00Z,4,20,16509C,27724.9988084583
1,2020-08-26T19:00:00Z,4,20,16509C,6588.73567151849
1,2020-08-26T20:00:00Z,4,20,16509C,10057.230446554
1,2020-08-26T21:00:00Z,4,20,16509C,25075.4717650027
1,2020-08-26T22:00:00Z,4,20,16509C,13960.8176086388
1,2020-08-26T23:00:00Z,4,20,16509C,26416.807332342
1,2020-08-27T00:00:00Z,4,20,16509C,7571.89487921478
1,2020-08-27T01:00:00Z,4,20,16509C,4790.69694941447
1,2020-08-27T03:00:00Z,4,20,16509C,466.189267010941
1,2020-08-27T04:00:00Z,4,20,16509C,3512.1656613803
1,2020-08-27T06:00:00Z,4,20,16509C,0
